symbol,date,open,high,low,close,volume
NEIC,2025-10-14,670,680,670,680,430
NEIC,2025-10-15,680,690,680,690,3393
NEIC,2025-10-16,700,700,700,700,2584
NEIC,2025-10-17,725,725,700,700,1843
NEIC,2025-10-20,715,715,700,700,1210
NEIC,2025-10-21,700,700,690,690,447
NEIC,2025-10-22,680,690,680,690,293
NEIC,2025-10-23,690,690,685,685,1009
NEIC,2025-10-24,685,685,685,685,756
NEIC,2025-10-27,685,700,685,700,4875
NEIC,2025-10-28,695,720,695,720,14983
NEIC,2025-10-29,725,725,720,720,15504
NEIC,2025-10-30,735,770,735,770,3623
NEIC,2025-10-31,770,825,770,825,20917
NEIC,2025-11-03,885,885,885,885,13787
NEIC,2025-11-04,890,950,890,950,10482
NEIC,2025-11-05,1020,1020,1020,1020,6079
NEIC,2025-11-06,1095,1095,1095,1095,7594
NEIC,2025-11-07,1015,1015,1015,1015,0
NEIC,2025-11-10,940,940,940,940,2007
NEIC,2025-11-11,955,1000,955,1000,5946
NEIC,2025-11-12,1000,1000,995,995,2233
NEIC,2025-11-13,930,985,930,985,2323
NEIC,2025-11-14,985,995,985,995,441
NEIC,2025-11-17,995,995,990,990,2589
NEIC,2025-11-18,985,985,920,920,1510
NEIC,2025-11-19,930,975,930,975,1839
NEIC,2025-11-20,975,975,945,945,467
NEIC,2025-11-21,945,945,945,945,545
NEIC,2025-11-24,945,945,940,940,1408
NEIC,2025-11-25,940,940,940,940,2512
NEIC,2025-11-26,900,900,900,900,1180
NEIC,2025-11-27,900,940,900,940,964
NTLC,2025-09-29,13050,13050,12935,12935,196
NTLC,2025-09-30,13000,13000,12935,12935,890
NTLC,2025-10-01,12935,13000,12935,13000,80
NTLC,2025-10-02,13000,13000,13000,13000,808
NTLC,2025-10-03,13000,13050,13000,13050,530
NTLC,2025-10-06,13055,13100,13055,13100,420
NTLC,2025-10-07,13130,13135,13130,13135,2182
NTLC,2025-10-08,13135,13135,13135,13135,172
NTLC,2025-10-09,13050,13135,13050,13135,1173
